stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
114153,52120,Papineau / Laurier,45.536052,-73.581535,http://m.stm.info/fr/horaires/arrets/52120/bus,0,,1
114156,52121,Papineau / Laurier,45.536044,-73.581178,http://m.stm.info/fr/horaires/arrets/52121/bus,0,,1
114162,52122,Notre-Dame / Turgeon,45.479095,-73.582012,http://m.stm.info/fr/horaires/arrets/52122/bus,0,,1
114164,52123,Notre-Dame / Turgeon,45.478878,-73.582174,http://m.stm.info/fr/horaires/arrets/52123/bus,0,,1
114172,52124,Perras / René-Masson,45.651097,-73.577183,http://m.stm.info/fr/horaires/arrets/52124/bus,0,,1
114174,52125,Perras / René-Masson,45.650657,-73.577277,http://m.stm.info/fr/horaires/arrets/52125/bus,0,,1
114181,52126,Pie-IX / Beaubien,45.562626,-73.579444,http://m.stm.info/fr/horaires/arrets/52126/bus,0,,1
114182,52127,Beaubien / Pie-IX,45.562791,-73.579644,http://m.stm.info/fr/horaires/arrets/52127/bus,0,,1
114183,52128,Pie-IX / Beaubien,45.562558,-73.57996,http://m.stm.info/fr/horaires/arrets/52128/bus,0,,1
114184,52129,Beaubien / Pie-IX,45.562434,-73.579716,http://m.stm.info/fr/horaires/arrets/52129/bus,0,,1
114204,52130,Sainte-Catherine / du Fort,45.491754,-73.581578,http://m.stm.info/fr/horaires/arrets/52130/bus,0,,1
114212,52131,Saint-Patrick / Pitt,45.470233,-73.58182,http://m.stm.info/fr/horaires/arrets/52131/bus,0,,2
114215,52132,Saint-Patrick / Pitt,45.470271,-73.581466,http://m.stm.info/fr/horaires/arrets/52132/bus,0,,1
114231,52135,Saint-Denis / Marie-Anne,45.522936,-73.580471,http://m.stm.info/fr/horaires/arrets/52135/bus,0,,1
114233,52136,Saint-Denis / Marie-Anne,45.522862,-73.580725,http://m.stm.info/fr/horaires/arrets/52136/bus,0,,1
114242,52137,du Mont-Royal / de Mentana,45.527137,-73.58012,http://m.stm.info/fr/horaires/arrets/52137/bus,0,,1
114244,52138,du Mont-Royal / de Mentana,45.526918,-73.580124,http://m.stm.info/fr/horaires/arrets/52138/bus,0,,1
114253,52139,Saint-Urbain / Duluth,45.515787,-73.580621,http://m.stm.info/fr/horaires/arrets/52139/bus,0,,2
114261,52140,du Docteur-Penfield / des Pins,45.506944,-73.579897,http://m.stm.info/fr/horaires/arrets/52140/bus,0,,1
114267,52141,des Pins / du Docteur-Penfield,45.506847,-73.580724,http://m.stm.info/fr/horaires/arrets/52141/bus,0,,1
114291,52142,Papineau / Saint-Joseph,45.535168,-73.57928,http://m.stm.info/fr/horaires/arrets/52142/bus,0,,1
114292,52143,Saint-Joseph / Papineau,45.535376,-73.579516,http://m.stm.info/fr/horaires/arrets/52143/bus,0,,1
114293,52144,Papineau / Saint-Joseph,45.535243,-73.579786,http://m.stm.info/fr/horaires/arrets/52144/bus,0,,1
114294,52145,Saint-Joseph / Papineau,45.535028,-73.579524,http://m.stm.info/fr/horaires/arrets/52145/bus,0,,1
114302,52146,Station Guy-Concordia (Maisonneuve / St-Mathieu),45.494696,-73.580486,http://m.stm.info/fr/horaires/arrets/52146/bus,0,,1
114303,52147,Station Guy-Concordia (St-Mathieu/De Maisonneuve),45.494608,-73.580727,http://m.stm.info/fr/horaires/arrets/52147/bus,0,,1
114307,52148,Station Guy-Concordia (De Maisonneuve/St-Mathieu),45.49435,-73.580889,http://m.stm.info/fr/horaires/arrets/52148/bus,0,,1
114312,52149,René-Lévesque / du Sussex,45.489211,-73.580695,http://m.stm.info/fr/horaires/arrets/52149/bus,0,,1
114313,52150,du Sussex / René-Lévesque,45.489191,-73.581152,http://m.stm.info/fr/horaires/arrets/52150/bus,0,,1
114322,52151,Rachel / de l'Hôtel-de-Ville,45.519934,-73.579963,http://m.stm.info/fr/horaires/arrets/52151/bus,0,,1
114324,52152,Rachel / de l'Hôtel-de-Ville,45.5197,-73.580012,http://m.stm.info/fr/horaires/arrets/52152/bus,0,,1
114332,52153,des Pins / University,45.508356,-73.580155,http://m.stm.info/fr/horaires/arrets/52153/bus,0,,1
114334,52154,des Pins / University,45.507931,-73.58013,http://m.stm.info/fr/horaires/arrets/52154/bus,0,,2
114340,52155,Saint-Patrick / No 3620,45.471584,-73.579957,http://m.stm.info/fr/horaires/arrets/52155/bus,0,,1
114352,52156,Maurice-Duplessis / Pierre-Baillargeon,45.641485,-73.57652,http://m.stm.info/fr/horaires/arrets/52156/bus,0,,1
114354,52157,Maurice-Duplessis / Pierre-Baillargeon,45.641135,-73.576582,http://m.stm.info/fr/horaires/arrets/52157/bus,0,,1
114361,52158,Saint-Michel / Holt,45.552669,-73.578523,http://m.stm.info/fr/horaires/arrets/52158/bus,0,,1
114363,52159,Saint-Michel / Holt,45.552593,-73.578868,http://m.stm.info/fr/horaires/arrets/52159/bus,0,,1
114372,52160,du Mont-Royal / Christophe-Colomb,45.528139,-73.579175,http://m.stm.info/fr/horaires/arrets/52160/bus,0,,1
114373,52161,Christophe-Colomb / du Mont-Royal,45.528043,-73.579412,http://m.stm.info/fr/horaires/arrets/52161/bus,0,,1
114374,52162,du Mont-Royal / Christophe-Colomb,45.527875,-73.579226,http://m.stm.info/fr/horaires/arrets/52162/bus,0,,1
114382,52163,Bélanger / 40e Avenue,45.575483,-73.578287,http://m.stm.info/fr/horaires/arrets/52163/bus,0,,1
114384,52164,Bélanger / 40e Avenue,45.575201,-73.578319,http://m.stm.info/fr/horaires/arrets/52164/bus,0,,1
114392,52165,Collège Jean-Eudes (Rosemont / 14e Avenue),45.555533,-73.578544,http://m.stm.info/fr/horaires/arrets/52165/bus,0,,1
114414,52167,Sherbrooke / Bishop,45.498138,-73.580064,http://m.stm.info/fr/horaires/arrets/52167/bus,0,,1
114432,52168,Beaubien / 25e Avenue,45.564471,-73.57818,http://m.stm.info/fr/horaires/arrets/52168/bus,0,,1
114442,52169,Notre-Dame / Rose-de-Lima,45.480043,-73.580258,http://m.stm.info/fr/horaires/arrets/52169/bus,0,,1
114443,52170,Rose-de-Lima / Notre-Dame,45.480021,-73.580619,http://m.stm.info/fr/horaires/arrets/52170/bus,0,,1
114444,52171,Notre-Dame / Rose-de-Lima,45.479686,-73.580675,http://m.stm.info/fr/horaires/arrets/52171/bus,0,,1
114451,52172,Saint-Laurent / Duluth,45.516967,-73.579262,http://m.stm.info/fr/horaires/arrets/52172/bus,0,,1
114472,52173,Stade Percival-Molson (des Pins / Aylmer),45.509515,-73.579468,http://m.stm.info/fr/horaires/arrets/52173/bus,0,,1
114474,52174,Stade Percival-Molson (des Pins / Aylmer),45.509184,-73.579488,http://m.stm.info/fr/horaires/arrets/52174/bus,0,,1
114484,52175,Rosemont / 15e Avenue,45.55577,-73.578033,http://m.stm.info/fr/horaires/arrets/52175/bus,0,,1
114491,52176,Peel / du Docteur-Penfield,45.503224,-73.579128,http://m.stm.info/fr/horaires/arrets/52176/bus,0,,1
114493,52177,Peel / du Docteur-Penfield,45.503373,-73.579678,http://m.stm.info/fr/horaires/arrets/52177/bus,0,,1
114494,52178,du Docteur-Penfield / Peel,45.503221,-73.579554,http://m.stm.info/fr/horaires/arrets/52178/bus,0,,1
114502,52179,Saint-Joseph / Chabot,45.53651,-73.578451,http://m.stm.info/fr/horaires/arrets/52179/bus,0,,1
114504,52180,Saint-Joseph / Chabot,45.536228,-73.578393,http://m.stm.info/fr/horaires/arrets/52180/bus,0,,1
114511,52181,De Lorimier / Laurier,45.537949,-73.57824,http://m.stm.info/fr/horaires/arrets/52181/bus,0,,1
114513,52182,De Lorimier / Laurier,45.537983,-73.578625,http://m.stm.info/fr/horaires/arrets/52182/bus,0,,1
114521,52183,De La Roche / du Mont-Royal,45.528714,-73.578339,http://m.stm.info/fr/horaires/arrets/52183/bus,0,,1
114522,52184,du Mont-Royal / De La Roche,45.528844,-73.578516,http://m.stm.info/fr/horaires/arrets/52184/bus,0,,1
114524,52185,du Mont-Royal / De La Roche,45.528612,-73.578539,http://m.stm.info/fr/horaires/arrets/52185/bus,0,,1
114534,52186,Beaubien / 26e Avenue,45.564806,-73.577667,http://m.stm.info/fr/horaires/arrets/52186/bus,0,,1
114541,52187,D'Iberville / Masson,45.542737,-73.577261,http://m.stm.info/fr/horaires/arrets/52187/bus,0,,1
114542,52188,Masson / D'Iberville,45.543333,-73.578072,http://m.stm.info/fr/horaires/arrets/52188/bus,0,,1
114543,52189,D'Iberville / Masson,45.543152,-73.578592,http://m.stm.info/fr/horaires/arrets/52189/bus,0,,1
114544,52190,Masson / D'Iberville,45.542628,-73.578435,http://m.stm.info/fr/horaires/arrets/52190/bus,0,,1
114547,52191,Masson / D'Iberville,45.542748,-73.578652,http://m.stm.info/fr/horaires/arrets/52191/bus,0,,1
114548,52192,D'Iberville / Masson,45.542655,-73.577427,http://m.stm.info/fr/horaires/arrets/52192/bus,0,,1
114551,52193,Atwater / Saint-Jacques,45.483709,-73.579324,http://m.stm.info/fr/horaires/arrets/52193/bus,0,,1
114561,52194,Station Guy-Concordia (Guy / De Maisonneuve),45.495301,-73.578222,http://m.stm.info/fr/horaires/arrets/52194/bus,0,,1
114566,52195,Station Guy-Concordia (Guy / De Maisonneuve),45.495939,-73.579665,http://m.stm.info/fr/horaires/arrets/52195/bus,0,,1
114573,52196,Saint-Mathieu / Sainte-Catherine,45.493867,-73.579452,http://m.stm.info/fr/horaires/arrets/52196/bus,0,,1
114574,52197,Sainte-Catherine / Saint-Mathieu,45.493687,-73.579306,http://m.stm.info/fr/horaires/arrets/52197/bus,0,,1
114582,52198,René-Lévesque / Seymour,45.489892,-73.579387,http://m.stm.info/fr/horaires/arrets/52198/bus,0,,1
114591,52199,Papineau / Gilford,45.534509,-73.577854,http://m.stm.info/fr/horaires/arrets/52199/bus,0,,1
114593,52200,Papineau / Gilford,45.534526,-73.578232,http://m.stm.info/fr/horaires/arrets/52200/bus,0,,1
114611,52201,Station Guy-Concordia (Guy / De Maisonneuve),45.495688,-73.579078,http://m.stm.info/fr/horaires/arrets/52201/bus,0,,1
114612,52202,Station Guy-Concordia (De Maisonneuve / Guy),45.495872,-73.579363,http://m.stm.info/fr/horaires/arrets/52202/bus,0,,1
114632,52203,Sherbrooke / de la Montagne,45.499809,-73.578706,http://m.stm.info/fr/horaires/arrets/52203/bus,0,,1
114634,52204,Sherbrooke / de la Montagne,45.499516,-73.578711,http://m.stm.info/fr/horaires/arrets/52204/bus,0,,1
114651,52205,Saint-Denis / Rachel,45.521806,-73.577975,http://m.stm.info/fr/horaires/arrets/52205/bus,0,,1
114652,52206,Rachel / Saint-Denis,45.521969,-73.578088,http://m.stm.info/fr/horaires/arrets/52206/bus,0,,1
114653,52207,Saint-Denis / Rachel,45.521796,-73.578387,http://m.stm.info/fr/horaires/arrets/52207/bus,0,,1
114654,52208,Rachel / Saint-Denis,45.521647,-73.578217,http://m.stm.info/fr/horaires/arrets/52208/bus,0,,1
114660,52209,Saint-Patrick / No 3550,45.472788,-73.578811,http://m.stm.info/fr/horaires/arrets/52209/bus,0,,1
114683,52211,Hôpital Hôtel-Dieu (St-Urbain / St-Cuthbert),45.514816,-73.578489,http://m.stm.info/fr/horaires/arrets/52211/bus,0,,1
114692,52212,Rosemont / 17e Avenue,45.557329,-73.576984,http://m.stm.info/fr/horaires/arrets/52212/bus,0,,1
114694,52213,Rosemont / 17e Avenue,45.557084,-73.576896,http://m.stm.info/fr/horaires/arrets/52213/bus,0,,1
114704,52214,Masson / Molson,45.543977,-73.577305,http://m.stm.info/fr/horaires/arrets/52214/bus,0,,1
114712,52215,Beaubien / 29e Avenue,45.56672,-73.57622,http://m.stm.info/fr/horaires/arrets/52215/bus,0,,1
114722,52216,Maurice-Duplessis / 41e Avenue,45.64284,-73.574737,http://m.stm.info/fr/horaires/arrets/52216/bus,0,,1
114724,52217,Maurice-Duplessis / 41e Avenue,45.642445,-73.574859,http://m.stm.info/fr/horaires/arrets/52217/bus,0,,1
114734,52218,des Pins / du Parc (coin Sud-Ouest),45.511429,-73.578216,http://m.stm.info/fr/horaires/arrets/52218/bus,0,,1
114741,52220,De Lorimier / Saint-Joseph,45.537405,-73.577082,http://m.stm.info/fr/horaires/arrets/52220/bus,0,,1
114742,52221,Saint-Joseph / De Lorimier,45.537662,-73.577364,http://m.stm.info/fr/horaires/arrets/52221/bus,0,,1
114743,52222,De Lorimier / Saint-Joseph,45.53752,-73.577635,http://m.stm.info/fr/horaires/arrets/52222/bus,0,,1
114744,52223,Saint-Joseph / De Lorimier,45.537287,-73.57738,http://m.stm.info/fr/horaires/arrets/52223/bus,0,,1
114752,52224,Bélanger / Sagamo,45.577568,-73.576473,http://m.stm.info/fr/horaires/arrets/52224/bus,0,,1
114754,52225,Bélanger / 43e Avenue,45.577315,-73.576485,http://m.stm.info/fr/horaires/arrets/52225/bus,0,,1
114761,52226,Saint-Laurent / Napoléon,45.516321,-73.57782,http://m.stm.info/fr/horaires/arrets/52226/bus,0,,1
114784,52227,René-Lévesque / du Fort,45.490326,-73.578182,http://m.stm.info/fr/horaires/arrets/52227/bus,0,,1
114801,52228,de l'Église / Lesage,45.46334,-73.578739,http://m.stm.info/fr/horaires/arrets/52228/bus,0,,1
114812,52229,De Maisonneuve / Bishop,45.497525,-73.578074,http://m.stm.info/fr/horaires/arrets/52229/bus,0,,1
114824,52230,du Mont-Royal / De Lanaudière,45.530144,-73.577093,http://m.stm.info/fr/horaires/arrets/52230/bus,0,,1
114834,52231,Beaubien / 29e Avenue,45.56649,-73.576197,http://m.stm.info/fr/horaires/arrets/52231/bus,0,,1
114842,52232,du Mont-Royal / De Lanaudière,45.530392,-73.577057,http://m.stm.info/fr/horaires/arrets/52232/bus,0,,1
114852,52233,Masson / 1re Avenue,45.545432,-73.57659,http://m.stm.info/fr/horaires/arrets/52233/bus,0,,1
114861,52234,Viau / Saint-Zotique,45.572299,-73.575831,http://m.stm.info/fr/horaires/arrets/52234/bus,0,,1
114863,52235,Viau / Saint-Zotique,45.572294,-73.576286,http://m.stm.info/fr/horaires/arrets/52235/bus,0,,1
114871,52236,Guy / Sainte-Catherine,45.495028,-73.577591,http://m.stm.info/fr/horaires/arrets/52236/bus,0,,1
114874,52237,Sainte-Catherine / Guy,45.494885,-73.57791,http://m.stm.info/fr/horaires/arrets/52237/bus,0,,1
114878,52238,Guy / Sainte-Catherine,45.494623,-73.57707,http://m.stm.info/fr/horaires/arrets/52238/bus,0,,1
114881,52239,Saint-Michel / Dandurand,45.551945,-73.576085,http://m.stm.info/fr/horaires/arrets/52239/bus,0,,1
114883,52240,Saint-Michel / Dandurand,45.551878,-73.576465,http://m.stm.info/fr/horaires/arrets/52240/bus,0,,1
114891,52241,Pie-IX / de Bellechasse,45.56147,-73.575715,http://m.stm.info/fr/horaires/arrets/52241/bus,0,,1
114893,52242,Pie-IX / de Bellechasse,45.561401,-73.576252,http://m.stm.info/fr/horaires/arrets/52242/bus,0,,1
114901,52243,Atwater / Notre-Dame,45.481199,-73.577776,http://m.stm.info/fr/horaires/arrets/52243/bus,0,,1
114902,52244,Notre-Dame / Atwater,45.481398,-73.577814,http://m.stm.info/fr/horaires/arrets/52244/bus,0,,1
114903,52245,Atwater / Notre-Dame,45.481305,-73.578148,http://m.stm.info/fr/horaires/arrets/52245/bus,0,,1
